,Movie_name,Rating,Duration,Release_year,Genre,Director,Meta_score
885,451. Barfi!,8.1,2h 31m,2012-01-01,comedy,Anurag Basu,0
886,452. Brave,7.1,1h 33m,2012-01-01,comedy,Mark Andrews,69
887,455. Django Unchained,8.5,2h 45m,2012-01-01,comedy,Quentin Tarantino,81
888,465. Romeo,6.7,2h 35m,2012-01-01,comedy,PC Shekar,0
889,466. Safety Not Guaranteed,6.9,1h 26m,2012-01-01,comedy,Colin Trevorrow,72
890,480. Vicky Donor,7.7,2h 6m,2012-01-01,comedy,Shoojit Sircar,0
891,481. Wadjda,7.5,1h 38m,2012-01-01,comedy,Haifaa Al-Mansour,81
892,482. Wreck-It Ralph,7.7,1h 41m,2012-01-01,comedy,Rich Moore,72
893,485. About Time,7.8,2h 3m,2013-01-01,comedy,Richard Curtis,55
894,493. Blue Jasmine,7.3,1h 38m,2013-01-01,comedy,Woody Allen,78
895,497. Director's Special,7.5,N/A,2013-01-01,comedy,Guruprasad,0
896,499. Frozen,7.4,1h 42m,2013-01-01,comedy,Chris Buck,75
897,513. Raja Rani,7.6,2h 40m,2013-01-01,comedy,Atlee,0
898,516. Saving Mr. Banks,7.5,2h 5m,2013-01-01,comedy,John Lee Hancock,65
899,517. Simple Agi Ondh Love Story,8.0,2h 10m,2013-01-01,comedy,Suni,0
900,519. Soodhu Kavvum,8.3,2h 15m,2013-01-01,comedy,Nalan Kumarasamy,0
901,531. Victory,7.2,N/A,2013-01-01,comedy,Nanda Kishore,0
902,533. Queen,8.1,2h 26m,2013-01-01,comedy,Vikas Bahl,0
903,535. What If,6.8,1h 38m,2013-01-01,comedy,Michael Dowse,59
904,536. Adhyaksha,7.4,2h 27m,2014-01-01,comedy,Nanda Kishore,0
905,537. Birdman or (The Unexpected Virtue of Ignorance),7.7,1h 59m,2014-01-01,comedy,Alejandro G. Iñárritu,87
906,542. Cooties,5.7,1h 28m,2014-01-01,comedy,Jonathan Milott,49
907,550. Guardians of the Galaxy,8.0,2h 1m,2014-01-01,comedy,James Gunn,76
908,553. Housebound,6.7,1h 47m,2014-01-01,comedy,Gerard Johnstone,76
909,556. Jai Lalitha,6.8,N/A,2014-01-01,comedy,Ponkumaran,0
910,571. Tusk,5.4,1h 42m,2014-01-01,comedy,Kevin Smith,55
911,579. American Ultra,6.1,1h 36m,2015-01-01,comedy,Nima Nourizadeh,50
912,580. Bajrangi Bhaijaan,8.1,2h 43m,2015-01-01,comedy,Kabir Khan,0
913,587. Goosebumps,6.3,1h 43m,2015-01-01,comedy,Rob Letterman,60
914,591. Master Piece,6.2,2h 38m,2015-01-01,comedy,Manju Mandavya,0
915,592. Me and Earl and the Dying Girl,7.7,1h 45m,2015-01-01,comedy,Alfonso Gomez-Rejon,74
916,599. Spy,7.0,2h,2015-01-01,comedy,Paul Feig,75
917,600. The Big Short,7.8,2h 10m,2015-01-01,comedy,Adam McKay,81
918,602. The Diary of a Teenage Girl,6.8,1h 42m,2015-01-01,comedy,Marielle Heller,87
919,603. The DUFF,6.4,1h 41m,2015-01-01,comedy,Ari Sandel,56
920,604. The Final Girls,6.5,1h 31m,2015-01-01,comedy,Todd Strauss-Schulson,59
921,605. The Intern,7.1,2h 1m,2015-01-01,comedy,Nancy Meyers,51
922,614. A Hologram for the King,6.1,1h 38m,2016-01-01,comedy,Tom Tykwer,58
923,619. Colossal,6.2,1h 49m,2016-01-01,comedy,Nacho Vigalondo,70
924,622. Hunt for the Wilderpeople,7.8,1h 41m,2016-01-01,comedy,Taika Waititi,81
925,624. Kirik Party,8.2,2h 39m,2016-01-01,comedy,Rishab Shetty,0
926,626. La La Land,8.0,2h 8m,2016-01-01,comedy,Damien Chazelle,94
927,629. Neighbors 2: Sorority Rising,5.7,1h 32m,2016-01-01,comedy,Nicholas Stoller,58
928,644. The Nice Guys,7.4,1h 56m,2016-01-01,comedy,Shane Black,70
929,651. American Made,7.1,1h 55m,2017-01-01,comedy,Doug Liman,65
930,652. Chamak,6.7,2h 35m,2017-01-01,comedy,Suni,0
931,657. Story of an Egg,7.9,2h 4m,2017-01-01,comedy,Raj B. Shetty,0
932,659. Teenage Mutant Ninja Turtles: Out of the Shadows,5.9,1h 52m,2016-01-01,comedy,Dave Green,40
933,660. Happy Death Day,6.6,1h 36m,2017-01-01,comedy,Christopher Landon,58
934,661. Thor: Ragnarok,7.9,2h 10m,2017-01-01,comedy,Taika Waititi,74
935,662. Heartbreakers,6.3,2h 3m,2001-01-01,comedy,David Mirkin,47
936,663. Operation Alamelamma,7.9,2h 18m,2017-01-01,comedy,Suni,0
937,668. Matchstick Men,7.3,1h 56m,2003-01-01,comedy,Ridley Scott,61
938,672. Florence Foster Jenkins,6.8,1h 51m,2016-01-01,comedy,Stephen Frears,71
939,"678. I, Tonya",7.5,1h 59m,2017-01-01,comedy,Craig Gillespie,77
940,"679. Three Billboards Outside Ebbing, Missouri",8.1,1h 55m,2017-01-01,comedy,Martin McDonagh,88
941,680. Lady Bird,7.4,1h 34m,2017-01-01,comedy,Greta Gerwig,93
942,681. Jumanji: Welcome to the Jungle,7.0,1h 59m,2017-01-01,comedy,Jake Kasdan,58
943,689. Legally Blonde,6.5,1h 36m,2001-01-01,comedy,Robert Luketic,59
944,690. A Lot Like Love,6.6,1h 47m,2005-01-01,comedy,Nigel Cole,48
945,695. Sankashta Kara Ganapathi,6.6,1h 56m,2018-01-01,comedy,Arjun Kumar,0
946,696. A Simple Favor,6.8,1h 57m,2018-01-01,comedy,Paul Feig,67
947,701. Blockers,6.2,1h 42m,2018-01-01,comedy,Kay Cannon,69
948,702. Destination Wedding,6.0,1h 27m,2018-01-01,comedy,Victor Levin,46
949,703. The Favourite,7.5,1h 59m,2018-01-01,comedy,Yorgos Lanthimos,91
950,704. Eighth Grade,7.3,1h 33m,2018-01-01,comedy,Bo Burnham,85
951,706. Instant Family,7.3,1h 58m,2018-01-01,comedy,Sean Anders,57
952,707. Green Book,8.2,2h 10m,2018-01-01,comedy,Peter Farrelly,69
953,709. Spider-Man: Into the Spider-Verse,8.4,1h 57m,2018-01-01,comedy,Bob Persichetti,87
954,711. The Babysitter,6.4,1h 25m,2017-01-01,comedy,McG,0
955,714. Happy Death Day 2U,6.2,1h 40m,2019-01-01,comedy,Christopher Landon,57
956,715. Booksmart,7.1,1h 42m,2019-01-01,comedy,Olivia Wilde,84
957,725. Ready or Not,6.8,1h 35m,2019-01-01,comedy,Matt Bettinelli-Olpin,64
958,727. Charlie's Angels,5.0,1h 58m,2019-01-01,comedy,Elizabeth Banks,52
959,732. Avane Srimannarayana,7.6,3h 6m,2019-01-01,comedy,Sachin Ravi,0
960,733. BlacKkKlansman,7.5,2h 15m,2018-01-01,comedy,Spike Lee,83
961,734. Finding Nemo,8.2,1h 40m,2003-01-01,comedy,Andrew Stanton,90
962,735. Once Upon a Time... in Hollywood,7.6,2h 41m,2019-01-01,comedy,Quentin Tarantino,84
963,739. Zombieland: Double Tap,6.7,1h 39m,2019-01-01,comedy,Ruben Fleischer,55
964,740. Missing Link,6.7,1h 33m,2019-01-01,comedy,Chris Butler,68
965,741. The Two Popes,7.6,2h 5m,2019-01-01,comedy,Fernando Meirelles,75
966,743. Knives Out,7.9,2h 10m,2019-01-01,comedy,Rian Johnson,82
967,744. Mary Poppins Returns,6.7,2h 10m,2018-01-01,comedy,Rob Marshall,66
968,747. Pokémon: Detective Pikachu,6.5,1h 44m,2019-01-01,comedy,Rob Letterman,53
969,748. The House with a Clock in Its Walls,6.1,1h 45m,2018-01-01,comedy,Eli Roth,57
970,752. Jumanji: The Next Level,6.6,2h 3m,2019-01-01,comedy,Jake Kasdan,58
971,754. Game Night,6.9,1h 40m,2018-01-01,comedy,John Francis Daley,66
972,757. Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,6.1,1h 49m,2020-01-01,comedy,Cathy Yan,60
973,758. Mayhem,6.4,1h 26m,2017-01-01,comedy,Joe Lynch,62
974,760. The Man from U.N.C.L.E.,7.2,1h 56m,2015-01-01,comedy,Guy Ritchie,56
975,763. Guns Akimbo,6.3,1h 38m,2019-01-01,comedy,Jason Howden,42
976,768. Late Night,6.5,1h 42m,2019-01-01,comedy,Nisha Ganatra,70
977,770. Bad Boys II,6.6,2h 27m,2003-01-01,comedy,Michael Bay,38
978,771. Spies in Disguise,6.8,1h 42m,2019-01-01,comedy,Nick Bruno,54
979,772. The Edge of Seventeen,7.3,1h 44m,2016-01-01,comedy,Kelly Fremon Craig,77
980,774. Pete's Dragon,6.7,1h 42m,2016-01-01,comedy,David Lowery,71
981,775. Borat,7.4,1h 24m,2006-01-01,comedy,Larry Charles,89
982,777. Happiest Season,6.6,1h 42m,2020-01-01,comedy,Clea DuVall,69
983,778. Freaky,6.3,1h 42m,2020-01-01,comedy,Christopher Landon,67
984,781. Palm Springs,7.4,1h 30m,2020-01-01,comedy,Max Barbakow,83
985,782. Boss Level,6.8,1h 40m,2020-01-01,comedy,Joe Carnahan,56
986,783. Love and Monsters,6.9,1h 49m,2020-01-01,comedy,Michael Matthews,63
987,787. Office Uprising,5.7,1h 32m,2018-01-01,comedy,Lin Oeding,0
988,789. Willy's Wonderland,5.5,1h 28m,2021-01-01,comedy,Kevin Lewis,44
989,791. Jojo Rabbit,7.9,1h 48m,2019-01-01,comedy,Taika Waititi,58
990,794. Cruella,7.3,2h 14m,2021-01-01,comedy,Craig Gillespie,59
991,796. The Suicide Squad,7.2,2h 12m,2021-01-01,comedy,James Gunn,72
992,797. Red Notice,6.3,1h 58m,2021-01-01,comedy,Rawson Marshall Thurber,37
993,799. Don't Look Up,7.2,2h 18m,2021-01-01,comedy,Adam McKay,49
994,800. Ghostbusters: Afterlife,7.0,2h 4m,2021-01-01,comedy,Jason Reitman,45
995,801. What We Do in the Shadows,7.6,1h 26m,2014-01-01,comedy,Jemaine Clement,76
996,802. Chemistry of Kariyappa,6.9,2h 8m,2019-01-01,comedy,Kumar,0
997,805. The Lost City,6.1,1h 52m,2022-01-01,comedy,Aaron Nee,60
998,807. The Unbearable Weight of Massive Talent,7.0,1h 47m,2022-01-01,comedy,Tom Gormican,68
999,808. 777 Charlie,8.7,2h 44m,2022-01-01,comedy,Kiranraj K,0
1000,2. Battle Royale,7.5,1h 54m,2000-01-01,adventure,Kinji Fukasaku,81
1001,"3. Crouching Tiger, Hidden Dragon",7.9,2h,2000-01-01,adventure,Ang Lee,94
1002,7. Gladiator,8.5,2h 35m,2000-01-01,adventure,Ridley Scott,67
1003,21. X-Men,7.3,1h 44m,2000-01-01,adventure,Bryan Singer,64
1004,22. A.I. Artificial Intelligence,7.2,2h 26m,2001-01-01,adventure,Steven Spielberg,65
1005,27. Harry Potter and the Sorcerer's Stone,7.7,2h 32m,2001-01-01,adventure,Chris Columbus,65
1006,"30. Monsters, Inc.",8.1,1h 32m,2001-01-01,adventure,Pete Docter,79
1007,32. Lara Croft: Tomb Raider,5.8,1h 40m,2001-01-01,adventure,Simon West,33
1008,38. Shrek,7.9,1h 30m,2001-01-01,adventure,Andrew Adamson,84
1009,40. The Lord of the Rings: The Fellowship of the Ring,8.9,2h 58m,2001-01-01,adventure,Peter Jackson,92
1010,51. Harry Potter and the Chamber of Secrets,7.4,2h 41m,2002-01-01,adventure,Chris Columbus,63
1011,52. Ice Age,7.5,1h 21m,2002-01-01,adventure,Chris Wedge,61
1012,63. Spider-Man,7.4,2h 1m,2002-01-01,adventure,Sam Raimi,73
1013,65. The Lord of the Rings: The Two Towers,8.8,2h 59m,2002-01-01,adventure,Peter Jackson,87
1014,75. Cold Mountain,7.2,2h 34m,2003-01-01,adventure,Anthony Minghella,73
1015,79. Holes,7.0,1h 57m,2003-01-01,adventure,Andrew Davis,71
1016,81. Johnny English,6.3,1h 27m,2003-01-01,adventure,Peter Howitt,51
1017,88. Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2h 23m,2003-01-01,adventure,Gore Verbinski,63
1018,93. The League of Extraordinary Gentlemen,5.8,1h 50m,2003-01-01,adventure,Stephen Norrington,30
1019,101. Alien vs. Predator,5.7,1h 41m,2004-01-01,adventure,Paul W.S. Anderson,29
1020,103. A Series of Unfortunate Events,6.8,1h 48m,2004-01-01,adventure,Brad Silberling,62
1021,114. Harold & Kumar Go to White Castle,7.0,1h 28m,2004-01-01,adventure,Danny Leiner,64
1022,115. Harry Potter and the Prisoner of Azkaban,7.9,2h 22m,2004-01-01,adventure,Alfonso Cuarón,82
1023,116. Hellboy,6.9,2h 2m,2004-01-01,adventure,Guillermo del Toro,72
1024,123. National Treasure,6.9,2h 11m,2004-01-01,adventure,Jon Turteltaub,40
1025,127. Spider-Man 2,7.5,2h 7m,2004-01-01,adventure,Sam Raimi,83
1026,135. The Incredibles,8.0,1h 55m,2004-01-01,adventure,Brad Bird,90
1027,140. Troy,7.3,2h 43m,2004-01-01,adventure,Wolfgang Petersen,56
1028,147. Charlie and the Chocolate Factory,6.7,1h 55m,2005-01-01,adventure,Tim Burton,72
1029,152. Harry Potter and the Goblet of Fire,7.7,2h 37m,2005-01-01,adventure,Mike Newell,81
1030,154. King Kong,7.2,3h 7m,2005-01-01,adventure,Peter Jackson,81
1031,156. Madagascar,6.9,1h 26m,2005-01-01,adventure,Eric Darnell,57
1032,163. Serenity,7.8,1h 59m,2005-01-01,adventure,Joss Whedon,74
1033,"165. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,2h 23m,2005-01-01,adventure,Andrew Adamson,75
1034,166. The Descent,7.2,1h 39m,2005-01-01,adventure,Neil Marshall,71
1035,169. The Hitchhiker's Guide to the Galaxy,6.7,1h 49m,2005-01-01,adventure,Garth Jennings,63
1036,175. War of the Worlds,6.5,1h 57m,2005-01-01,adventure,Steven Spielberg,73
1037,181. Casino Royale,8.0,2h 24m,2006-01-01,adventure,Martin Campbell,80
1038,191. Mission: Impossible III,6.9,2h 6m,2006-01-01,adventure,J.J. Abrams,66
1039,196. Pirates of the Caribbean: Dead Man's Chest,7.4,2h 31m,2006-01-01,adventure,Gore Verbinski,53
1040,200. The Ant Bully,5.8,1h 28m,2006-01-01,adventure,John A. Davis,59
1041,203. The Fall,7.8,1h 57m,2006-01-01,adventure,Tarsem Singh,64
1042,204. The Girl Who Leapt Through Time,7.7,1h 38m,2006-01-01,adventure,Mamoru Hosoda,66
1043,216. Beowulf,6.3,1h 55m,2007-01-01,adventure,Robert Zemeckis,59
1044,223. Enchanted,7.1,1h 47m,2007-01-01,adventure,Kevin Lima,75
1045,226. Harry Potter and the Order of the Phoenix,7.5,2h 18m,2007-01-01,adventure,David Yates,71
1046,229. Into the Wild,8.1,2h 28m,2007-01-01,adventure,Sean Penn,73
1047,235. Meet the Robinsons,6.8,1h 35m,2007-01-01,adventure,Stephen J. Anderson,61
1048,244. Pirates of the Caribbean: At World's End,7.1,2h 49m,2007-01-01,adventure,Gore Verbinski,50
1049,246. Ratatouille,8.1,1h 51m,2007-01-01,adventure,Brad Bird,96
1050,251. Stardust,7.6,2h 7m,2007-01-01,adventure,Matthew Vaughn,66
1051,257. The Bucket List,7.4,1h 37m,2007-01-01,adventure,Rob Reiner,42
1052,260. The Golden Compass,6.1,1h 53m,2007-01-01,adventure,Chris Weitz,51
1053,264. The Water Horse,6.4,1h 52m,2007-01-01,adventure,Jay Russell,71
1054,267. Transformers,7.1,2h 24m,2007-01-01,adventure,Michael Bay,61
1055,269. Wrong Turn 2: Dead End,5.5,1h 33m,2007-01-01,adventure,Joe Lynch,0
1056,271. 24: Redemption,7.4,1h 24m,2008-01-01,adventure,Jon Cassar,0
1057,275. City of Ember,6.4,1h 30m,2008-01-01,adventure,Gil Kenan,58
1058,276. CJ7,6.4,1h 28m,2008-01-01,adventure,Stephen Chow,46
1059,288. Harold & Kumar Escape from Guantanamo Bay,6.5,1h 54m,2008-01-01,adventure,Jon Hurwitz,57
1060,289. Hellboy II: The Golden Army,7.0,2h,2008-01-01,adventure,Guillermo del Toro,78
1061,290. Horton Hears a Who!,6.8,1h 26m,2008-01-01,adventure,Jimmy Hayward,71
1062,291. Indiana Jones and the Kingdom of the Crystal Skull,6.2,2h 2m,2008-01-01,adventure,Steven Spielberg,65
1063,292. Iron Man,7.9,2h 6m,2008-01-01,adventure,Jon Favreau,79
1064,294. Kung Fu Panda,7.6,1h 32m,2008-01-01,adventure,Mark Osborne,74
1065,301. Quantum of Solace,6.5,1h 46m,2008-01-01,adventure,Marc Forster,58
1066,316. The Chronicles of Narnia: Prince Caspian,6.5,2h 30m,2008-01-01,adventure,Andrew Adamson,62
1067,320. The Incredible Hulk,6.6,1h 52m,2008-01-01,adventure,Louis Leterrier,61
1068,321. The Ruins,5.9,1h 30m,2008-01-01,adventure,Carter Smith,44
1069,329. WALL·E,8.4,1h 38m,2008-01-01,adventure,Andrew Stanton,95
1070,334. 9,7.0,1h 19m,2009-01-01,adventure,Shane Acker,60
1071,339. Avatar,7.9,2h 42m,2009-01-01,adventure,James Cameron,83
1072,346. Harry Potter and the Half-Blood Prince,7.6,2h 33m,2009-01-01,adventure,David Yates,78
1073,348. Inglourious Basterds,8.4,2h 33m,2009-01-01,adventure,Quentin Tarantino,69
1074,357. Sherlock Holmes,7.6,2h 8m,2009-01-01,adventure,Guy Ritchie,57
1075,359. Star Trek,7.9,2h 7m,2009-01-01,adventure,J.J. Abrams,82
1076,368. The Secret of Kells,7.5,1h 15m,2009-01-01,adventure,Tomm Moore,81
1077,370. Up,8.3,1h 36m,2009-01-01,adventure,Pete Docter,88
1078,375. Alice in Wonderland,6.4,1h 48m,2010-01-01,adventure,Tim Burton,53
1079,378. Despicable Me,7.6,1h 35m,2010-01-01,adventure,Pierre Coffin,72
1080,381. Frozen,6.2,1h 33m,2010-01-01,adventure,Adam Green,43
1081,383. Harry Potter and the Deathly Hallows: Part 1,7.7,2h 26m,2010-01-01,adventure,David Yates,65
1082,384. How to Train Your Dragon,8.1,1h 38m,2010-01-01,adventure,Dean DeBlois,75
1083,385. Inception,8.8,2h 28m,2010-01-01,adventure,Christopher Nolan,74
1084,389. Legend of the Guardians: The Owls of Ga'Hoole,6.9,1h 37m,2010-01-01,adventure,Zack Snyder,53
1085,393. Prince of Persia: The Sands of Time,6.5,1h 56m,2010-01-01,adventure,Mike Newell,50
1086,398. Tangled,7.7,1h 40m,2010-01-01,adventure,Nathan Greno,71
1087,399. The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,1h 53m,2010-01-01,adventure,Michael Apted,53
1088,"404. Tomorrow, When the War Began",6.1,1h 44m,2010-01-01,adventure,Stuart Beattie,54
1089,405. Toy Story 3,8.3,1h 43m,2010-01-01,adventure,Lee Unkrich,92
1090,408. Captain America: The First Avenger,6.9,2h 4m,2011-01-01,adventure,Joe Johnston,66
1091,416. Hanna,6.7,1h 51m,2011-01-01,adventure,Joe Wright,65
1092,418. Hugo,7.5,2h 6m,2011-01-01,adventure,Martin Scorsese,83
1093,419. Harry Potter and the Deathly Hallows: Part 2,8.1,2h 10m,2011-01-01,adventure,David Yates,85
1094,423. Kung Fu Panda 2,7.3,1h 30m,2011-01-01,adventure,Jennifer Yuh Nelson,67
1095,427. Rio,6.9,1h 36m,2011-01-01,adventure,Carlos Saldanha,63
1096,434. The Adventures of Tintin,7.3,1h 47m,2011-01-01,adventure,Steven Spielberg,68
1097,440. The Twilight Saga: Breaking Dawn - Part 1,4.9,1h 57m,2011-01-01,adventure,Bill Condon,45
1098,452. Brave,7.1,1h 33m,2012-01-01,adventure,Mark Andrews,69
1099,460. John Carter,6.6,2h 12m,2012-01-01,adventure,Andrew Stanton,51
1100,462. Life of Pi,7.9,2h 7m,2012-01-01,adventure,Ang Lee,79
1101,464. On the Road,6.0,2h 4m,2012-01-01,adventure,Walter Salles,56
1102,466. Safety Not Guaranteed,6.9,1h 26m,2012-01-01,adventure,Colin Trevorrow,72
1103,468. Snow White and the Huntsman,6.1,2h 7m,2012-01-01,adventure,Rupert Sanders,57
1104,469. Skyfall,7.8,2h 23m,2012-01-01,adventure,Sam Mendes,81
1105,473. The Hobbit: An Unexpected Journey,7.8,2h 49m,2012-01-01,adventure,Peter Jackson,58
1106,482. Wreck-It Ralph,7.7,1h 41m,2012-01-01,adventure,Rich Moore,72
1107,486. After Earth,4.8,1h 40m,2013-01-01,adventure,M. Night Shyamalan,33
1108,499. Frozen,7.4,1h 42m,2013-01-01,adventure,Chris Buck,75
1109,503. Iron Man 3,7.1,2h 10m,2013-01-01,adventure,Shane Black,62
1110,505. Justice League: The Flashpoint Paradox,8.1,1h 15m,2013-01-01,adventure,Jay Oliva,0
1111,509. Man of Steel,7.1,2h 23m,2013-01-01,adventure,Zack Snyder,55
1112,511. Oblivion,7.0,2h 4m,2013-01-01,adventure,Joseph Kosinski,54
1113,521. Star Trek Into Darkness,7.7,2h 12m,2013-01-01,adventure,J.J. Abrams,72
1114,525. The Hunger Games: Catching Fire,7.5,2h 26m,2013-01-01,adventure,Francis Lawrence,76
1115,528. Thor: The Dark World,6.7,1h 52m,2013-01-01,adventure,Alan Taylor,54
1116,533. Queen,8.1,2h 26m,2013-01-01,adventure,Vikas Bahl,0
1117,534. World War Z,7.0,1h 56m,2013-01-01,adventure,Marc Forster,63
1118,540. Captain America: The Winter Soldier,7.7,2h 16m,2014-01-01,adventure,Anthony Russo,70
1119,544. Dawn of the Planet of the Apes,7.6,2h 10m,2014-01-01,adventure,Matt Reeves,79
1120,546. Edge of Tomorrow,7.9,1h 53m,2014-01-01,adventure,Doug Liman,71
1121,548. Godzilla,6.4,2h 3m,2014-01-01,adventure,Gareth Edwards,62
1122,550. Guardians of the Galaxy,8.0,2h 1m,2014-01-01,adventure,James Gunn,76
1123,554. Interstellar,8.7,2h 49m,2014-01-01,adventure,Christopher Nolan,74
1124,557. Maleficent,6.9,1h 37m,2014-01-01,adventure,Robert Stromberg,56
1125,577. Wild,7.1,1h 55m,2014-01-01,adventure,Jean-Marc Vallée,74
1126,578. X-Men: Days of Future Past,7.9,2h 12m,2014-01-01,adventure,Bryan Singer,75
1127,580. Bajrangi Bhaijaan,8.1,2h 43m,2015-01-01,adventure,Kabir Khan,0
1128,587. Goosebumps,6.3,1h 43m,2015-01-01,adventure,Rob Letterman,60
1129,588. Jurassic World,6.9,2h 4m,2015-01-01,adventure,Colin Trevorrow,59
1130,590. Mad Max: Fury Road,8.1,2h,2015-01-01,adventure,George Miller,90
1131,608. The Martian,8.0,2h 24m,2015-01-01,adventure,Ridley Scott,80
1132,616. A Monster Calls,7.4,1h 48m,2016-01-01,adventure,J.A. Bayona,76
1133,621. Fantastic Beasts and Where to Find Them,7.2,2h 12m,2016-01-01,adventure,David Yates,66
1134,622. Hunt for the Wilderpeople,7.8,1h 41m,2016-01-01,adventure,Taika Waititi,81
1135,636. Star Trek Beyond,7.0,2h 2m,2016-01-01,adventure,Justin Lin,68
1136,638. The Girl with All the Gifts,6.6,1h 51m,2016-01-01,adventure,Colm McCarthy,67
1137,641. The Jungle Book,7.3,1h 46m,2016-01-01,adventure,Jon Favreau,77
1138,642. The Legend of Tarzan,6.2,1h 50m,2016-01-01,adventure,David Yates,44
1139,659. Teenage Mutant Ninja Turtles: Out of the Shadows,5.9,1h 52m,2016-01-01,adventure,Dave Green,40
1140,661. Thor: Ragnarok,7.9,2h 10m,2017-01-01,adventure,Taika Waititi,74
1141,665. Valerian and the City of a Thousand Planets,6.4,2h 16m,2017-01-01,adventure,Luc Besson,51
1142,674. The Count of Monte Cristo,7.7,2h 11m,2002-01-01,adventure,Kevin Reynolds,61
1143,681. Jumanji: Welcome to the Jungle,7.0,1h 59m,2017-01-01,adventure,Jake Kasdan,58
1144,684. Annihilation,6.8,1h 55m,2018-01-01,adventure,Alex Garland,79
1145,692. Avengers: Infinity War,8.4,2h 29m,2018-01-01,adventure,Anthony Russo,68
1146,694. Venom,6.6,1h 52m,2018-01-01,adventure,Ruben Fleischer,35
1147,700. Mission: Impossible - Fallout,7.7,2h 27m,2018-01-01,adventure,Christopher McQuarrie,87
1148,705. Mortal Engines,6.1,2h 8m,2018-01-01,adventure,Christian Rivers,44
1149,708. Aquaman,6.8,2h 23m,2018-01-01,adventure,James Wan,55
1150,709. Spider-Man: Into the Spider-Verse,8.4,1h 57m,2018-01-01,adventure,Bob Persichetti,87
1151,713. Avengers: Endgame,8.4,3h 1m,2019-01-01,adventure,Anthony Russo,78
1152,719. Alita: Battle Angel,7.3,2h 2m,2019-01-01,adventure,Robert Rodriguez,53
1153,727. Charlie's Angels,5.0,1h 58m,2019-01-01,adventure,Elizabeth Banks,52
1154,732. Avane Srimannarayana,7.6,3h 6m,2019-01-01,adventure,Sachin Ravi,0
1155,734. Finding Nemo,8.2,1h 40m,2003-01-01,adventure,Andrew Stanton,90
1156,740. Missing Link,6.7,1h 33m,2019-01-01,adventure,Chris Butler,68
1157,744. Mary Poppins Returns,6.7,2h 10m,2018-01-01,adventure,Rob Marshall,66
1158,746. Wonder Woman,7.3,2h 21m,2017-01-01,adventure,Patty Jenkins,76
1159,747. Pokémon: Detective Pikachu,6.5,1h 44m,2019-01-01,adventure,Rob Letterman,53
1160,752. Jumanji: The Next Level,6.6,2h 3m,2019-01-01,adventure,Jake Kasdan,58
1161,754. Game Night,6.9,1h 40m,2018-01-01,adventure,John Francis Daley,66
1162,760. The Man from U.N.C.L.E.,7.2,1h 56m,2015-01-01,adventure,Guy Ritchie,56
1163,771. Spies in Disguise,6.8,1h 42m,2019-01-01,adventure,Nick Bruno,54
1164,774. Pete's Dragon,6.7,1h 42m,2016-01-01,adventure,David Lowery,71
1165,779. Zack Snyder's Justice League,7.9,4h 2m,2021-01-01,adventure,Zack Snyder,54
1166,782. Boss Level,6.8,1h 40m,2020-01-01,adventure,Joe Carnahan,56
1167,783. Love and Monsters,6.9,1h 49m,2020-01-01,adventure,Michael Matthews,63
1168,794. Cruella,7.3,2h 14m,2021-01-01,adventure,Craig Gillespie,59
1169,796. The Suicide Squad,7.2,2h 12m,2021-01-01,adventure,James Gunn,72
1170,800. Ghostbusters: Afterlife,7.0,2h 4m,2021-01-01,adventure,Jason Reitman,45
1171,805. The Lost City,6.1,1h 52m,2022-01-01,adventure,Aaron Nee,60
1172,808. 777 Charlie,8.7,2h 44m,2022-01-01,adventure,Kiranraj K,0
1173,809. Prey,7.1,1h 40m,2022-01-01,adventure,Dan Trachtenberg,71
1174,810. Everything Everywhere All at Once,7.8,2h 19m,2022-01-01,adventure,Daniel Kwan,81
1175,813. Kantara,8.2,2h 28m,2022-01-01,adventure,Rishab Shetty,0
1176,815. Plane,6.5,1h 47m,2023-01-01,adventure,Jean-François Richet,62
1177,818. RRR,7.8,3h 7m,2022-01-01,adventure,S.S. Rajamouli,83
1178,825. Dungeons & Dragons: Honor Among Thieves,7.2,2h 14m,2023-01-01,adventure,John Francis Daley,72
1179,827. Black Widow,6.6,2h 14m,2021-01-01,adventure,Cate Shortland,68
1180,837. Space Sweepers,6.5,2h 16m,2021-01-01,adventure,Sung-hee Jo,64
1181,838. Guillermo del Toro's Pinocchio,7.6,1h 57m,2022-01-01,adventure,Guillermo del Toro,79
1182,841. Coco,8.4,1h 45m,2017-01-01,adventure,Lee Unkrich,81
1183,842. The Flash,6.6,2h 24m,2023-01-01,adventure,Andy Muschietti,55
1184,858. Hanu Man,7.7,2h 38m,2024-01-01,adventure,Prasanth Varma,0
1185,860. Civil War,7.0,1h 49m,2024-01-01,adventure,Alex Garland,75
1186,"3. Crouching Tiger, Hidden Dragon",7.9,2h,2000-01-01,romance,Ang Lee,94
1187,10. Malena,7.4,1h 48m,2000-01-01,romance,Giuseppe Tornatore,54
1188,11. Meet the Parents,7.0,1h 48m,2000-01-01,romance,Jay Roach,73
1189,13. Mohabbatein,7.0,3h 36m,2000-01-01,romance,Aditya Chopra,0
